,municipality,postcode,Coordinates,latitude,longitude
97,Pelayos de la Presa,28696,"Pelayos de la Presa, Madrid, Spain",40.3588183,-4.3344973
98,Perales de Tajuna,28540,"28540 Perales de Tajuña, Madrid, Spain",40.2324096,-3.3514863
99,Pezuela de las Torres,28812,"28812 Pezuela de las Torres, Madrid, Spain",40.418973,-3.1760832
100,Pinilla del Valle,28749,"28749 Pinilla del Valle, Madrid, Spain",40.9265024,-3.8203738
101,Pinto,28320,"128 Montague St, Brooklyn, NY 11201, USA",40.6946004,-73.99425839999999
102,Pinuecar-Gandullas,28737,"28737 Piñuécar-Gandullas, Madrid, Spain",41.0126127,-3.6012042
103,Pozuelo de Alarcon,28220,"Municipality of Pozuelo de Alarcón, Madrid, Spain",40.4440627,-3.8058517
104,Pozuelo del Rey,28813,"28813 Pozuelo del Rey, Madrid, Spain",40.3665441,-3.3206352
105,Pradena del Rincon,28191,"28191 Prádena del Rincón, Madrid, Spain",41.0440748,-3.5404748
106,Puebla de la Sierra,28190,"28190 Puebla de la Sierra, Madrid, Spain",41.0117046,-3.4451018
107,Puentes Viejas,28754,"Puentes Viejas, Madrid, Spain",40.964983,-3.583199
108,Quijorna,28693,"28693 Quijorna, Madrid, Spain",40.429024,-4.0567709
109,Rascafria,28740,"Rascafría, Madrid, Spain",40.8732261,-3.8858955
110,Reduena,28721,"28721 Redueña, Madrid, Spain",40.8163179,-3.6032704
111,Ribatejada,28815,"28815 Ribatejada, Madrid, Spain",40.6674275,-3.3930713
112,Rivas-Vaciamadrid,28520,"Rivas-Vaciamadrid, Madrid, Spain",40.3519065,-3.5357334
113,Robledillo de la Jara,28194,"28194 Robledillo de la Jara, Madrid, Spain",40.9523515,-3.5252214
114,Robledo de Chavela,28294,"28294 Robledo de Chavela, Madrid, Spain",40.505008,-4.2345159
115,Robregordo,28755,"28755 Robregordo, Madrid, Spain",41.10675,-3.593450799999999
116,Rozas de Madrid (Las),28230,"Las Rozas de Madrid, Madrid, Spain",40.4935329,-3.8757916
117,Rozas de Puerto Real,28649,"28649 Rozas de Puerto Real, Madrid, Spain",40.3092383,-4.4922092
118,San Agustin del Guadalix,28750,"28750 San Agustín del Guadalix, Madrid, Spain",40.6788466,-3.6163061
119,San Fernando de Henares,28830,"Municipality of San Fernando de Henares, 28830, Madrid, Spain",40.42905289999999,-3.5104537
120,San Lorenzo de El Escorial,28200,"San Lorenzo de El Escorial, Madrid, Spain",40.5932386,-4.1475748
121,San Martin de la Vega,28320,"28330 San Martín de la Vega, Madrid, Spain",40.2103049,-3.5787384
122,San Martin de Valdeiglesias,28680,"28680 San Martín de Valdeiglesias, Madrid, Spain",40.3635617,-4.4035034
123,San Sebastian de los Reyes,28120,"San Sebastián de los Reyes, Madrid, Spain",40.5589672,-3.6261976
124,Santa Maria de la Alameda,28296,"28296 Santa María de la Alameda, Madrid, Spain",40.5963264,-4.2596149
125,Santorcaz,28818,"28818 Santorcaz, Madrid, Spain",40.4720739,-3.2338527
126,Santos de la Humosa (Los),28817,"28817 Los Santos de la Humosa, Madrid, Spain",40.5012941,-3.2571054
127,Serna del Monte (La),28737,"28737 La Serna del Monte, Madrid, Spain",41.0307464,-3.6252632
128,Serranillos del Valle,28979,"Serranillos del Valle, Madrid, Spain",40.2056183,-3.883349399999999
129,Sevilla la Nueva,28609,"28609 Sevilla la Nueva, Madrid, Spain",40.3473337,-4.0274014
130,Somosierra,28756,"28756 Somosierra, Madrid, Spain",41.1330027,-3.5824103
131,Soto del Real,28791,"28791 Soto del Real, Madrid, Spain",40.7528628,-3.7816093
132,Talamanca de Jarama,28160,"28160 Talamanca de Jarama, Madrid, Spain",40.7451696,-3.5111468
133,Tielmes,28550,"28550 Tielmes, Madrid, Spain",40.2475704,-3.3124535
134,Titulcia,28359,"28359 Titulcia, Madrid, Spain",40.1377552,-3.5698814
135,Torrejon de Ardoz,28850,"Torrejón de Ardoz, Madrid, Spain",40.4567552,-3.4754967
136,Torrejon de la Calzada,28991,"Torrejón de la Calzada, Madrid, Spain",40.2016981,-3.7999099
137,Torrejon de Velasco,28990,"28990 Torrejón de Velasco, Madrid, Spain",40.1874784,-3.7752572
138,Torrelaguna,28189,"28180 Torrelaguna, Madrid, Spain",40.8275222,-3.5395265
139,Torrelodones,28250,"28250 Torrelodones, Madrid, Spain",40.5766078,-3.9293646
140,Torremocha de Jarama,28189,"28189 Torremocha de Jarama, Madrid, Spain",40.8421508,-3.4946603
141,Torres de la Alameda,28813,"28813 Torres de la Alameda, Madrid, Spain",40.4054714,-3.3615643
142,Valdaracete,28594,"28594 Valdaracete, Madrid, Spain",40.2106451,-3.1946311
143,Valdeavero,28816,"Valdeavero, Madrid, Spain",40.6332569,-3.3328702
144,Valdelaguna,28391,"28391 Valdelaguna, Madrid, Spain",40.16168529999999,-3.3678641
145,Valdemanco,28729,"28729 Valdemanco, Madrid, Spain",40.8722993,-3.6629577
146,Valdemaqueda,28295,"28295 Valdemaqueda, Madrid, Spain",40.5113229,-4.2939105
147,Valdemorillo,28210,"28210 Valdemorillo, Madrid, Spain",40.4991922,-4.065255899999999
148,Valdemoro,28340,"Valdemoro, Madrid, Spain",40.1912403,-3.6740182
149,Valdeolmos-Alalpardo,28130,"28130 Valdeolmos-Alalpardo, Madrid, Spain",40.6385042,-3.4531644
150,Valdepielagos,28170,"28170 Valdepiélagos, Madrid, Spain",40.7608617,-3.4656137
151,Valdetorres de Jarama,28150,"28150 Valdetorres de Jarama, Madrid, Spain",40.6955184,-3.5129811
152,Valdilecha,28511,"28511 Valdilecha, Madrid, Spain",40.2937839,-3.3023856
153,Valverde de Alcala,28812,"28812 Valverde de Alcalá, Madrid, Spain",40.4190426,-3.2989252
154,Velilla de San Antonio,28499,"Velilla de San Antonio, Madrid, Spain",40.3699557,-3.4864498
155,Vellon (El),28722,"28722 El Vellón, Madrid, Spain",40.7674389,-3.581902
156,Venturada,28729,"28729 Venturada, Madrid, Spain",40.7990504,-3.6224135
157,Villa del Prado,28630,"9313 Tallyho Rd, Houston, TX 77017, USA",29.6564702,-95.2501297
158,Villaconejos,28360,"28360 Villaconejos, Madrid, Spain",40.1044848,-3.4864498
159,Villalbilla,28810,"28810 Villalbilla, Madrid, Spain",40.4329592,-3.3005573
160,Villamanrique de Tajo,28598,"28598 Villamanrique de Tajo, Madrid, Spain",40.068126,-3.2395077
161,Villamanta,28610,"28610 Villamanta, Madrid, Spain",40.2986037,-4.1091663
162,Villamantilla,28609,"28609 Villamantilla, Madrid, Spain",40.3418042,-4.1302671
163,Villanueva de la Canada,28691,"28691 Villanueva de la Cañada, Madrid, Spain",40.4481075,-3.9975566
164,Villanueva de Perales,28609,"Villanueva de Perales, 28609, Madrid, Spain",40.3689709,-4.100217
165,Villanueva del Pardillo,28229,"Villanueva del Pardillo, 28229, Madrid, Spain",40.49531570000001,-3.9776389
166,Villar del Olmo,28512,"28512 Villar del Olmo, Madrid, Spain",40.3361286,-3.2360518
167,Villarejo de Salvanes,28590,"28590 Villarejo de Salvanés, Madrid, Spain",40.1681485,-3.275967
168,Villaviciosa de Odon,28670,"Villaviciosa de Odón, Madrid, Spain",40.3626807,-3.9139109
169,Villavieja del Lozoya,28739,"28739 Villavieja del Lozoya, Madrid, Spain",41.0063444,-3.6711079
170,Zarzalejo,28293,"28293 Zarzalejo, Madrid, Spain",40.5483956,-4.1827363
