,Restaurant,Borough,Neighborhood,Postcode,CUISINE DESCRIPTION,GRADE,Address
383,PONGSRI THAI RESTAURANT,MANHATTAN,WEST   48 STREET,10036,Thai,A,"Hell's Kitchen, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
384,PRIMAVERA PIZZA & PASTA,MANHATTAN,2 AVENUE,10022,Pizza/Italian,A,"Midtown East, Manhattan Community Board 6, Manhattan, New York County, NYC, New York, USA"
385,TONY'S PIER RESTAURANT,BRONX,CITY ISLAND AVE,10464,Seafood,A,"Bronx County, NYC, New York, USA"
386,ELIO'S,MANHATTAN,SECOND AVENUE,10028,Italian,B,"Yorkville, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA"
387,KASTELI II,MANHATTAN,8 AVENUE,10001,Irish,A,"Chelsea, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
388,KASTELI II,MANHATTAN,8 AVENUE,10001,Irish,C,"Chelsea, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
389,KASTELI II,MANHATTAN,8 AVENUE,10001,Irish,B,"Chelsea, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
390,MOLLY WEE PUB,MANHATTAN,8 AVENUE,10001,Irish,A,"Chelsea, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
391,EL CARIBE,BROOKLYN,STRICKLAND AVE,11234,Italian,A,"Kungsholmen, Sthlm, Stockholm, Sveriges Landskap, Stockholms län, Svealand, Sverige"
392,OMEN JAPANESE CUISINE,MANHATTAN,THOMPSON STREET,10012,Japanese,A,"SoHo, Manhattan Community Board 2, Manhattan, New York County, NYC, New York, 10012, USA"
393,MCDONALD'S,QUEENS,KISSENA BOULEVARD,11367,Hamburgers,A,"Queens County, NYC, New York, USA"
394,ROSIE O'GRADY RESTAURANT,MANHATTAN,7 AVENUE,10019,Irish,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
395,EUROPA BAR,QUEENS,SUTPHIN BOULEVARD,11435,American,A,"Queens County, NYC, New York, USA"
396,CASA BELLA,MANHATTAN,MULBERRY STREET,10013,Italian,A,"屏東縣, 臺灣省, TW"
397,CHEZ NAPOLEON,MANHATTAN,WEST   50 STREET,10019,French,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
398,TURKEY'S NEST TAVERN,BROOKLYN,BEDFORD AVENUE,11249,American,A,"BK, Kings County, NYC, New York, USA"
399,LA VILLA DE PIZZA & RESTAURANT,QUEENS,153 AVENUE,11414,Pizza,A,"Queens, Queens County, NYC, New York, USA"
400,OZONE PIZZERIA,QUEENS,LIBERTY AVENUE,11417,Pizza/Italian,A,"Lasnamäe, Kesklinn, Tallinn, Lasnamäe linnaosa, Tallinn, Harju maakond, 11412, Eesti"
401,AGRA RESTAURANT,MANHATTAN,LEXINGTON AVENUE,10065,Indian,B,"Lenox Hill, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA"
402,AGRA RESTAURANT,MANHATTAN,LEXINGTON AVENUE,10065,Indian,C,"Lenox Hill, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA"
403,ARTURO'S,MANHATTAN,YORK AVENUE,10028,Italian,A,"Yorkville, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA"
404,PARIS BLUES,MANHATTAN,7 AVENUE,10027,American,A,"Harlem, Manhattan Community Board 10, Manhattan, New York County, NYC, New York, USA"
405,PARIS BLUES,MANHATTAN,7 AVENUE,10027,American,B,"Harlem, Manhattan Community Board 10, Manhattan, New York County, NYC, New York, USA"
406,GENE'S RESTURANT,MANHATTAN,WEST   11 STREET,10011,Italian,A,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
407,COZY SOUP & BURGER,MANHATTAN,BROADWAY,10003,American,A,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA"
408,VILLA FIORITA,BROOKLYN,18 AVENUE,11214,Italian,A,"BK, Kings County, NYC, New York, USA"
409,MOMS LUNCHEONETTE,QUEENS,103 AVENUE,11417,American,A,"Lasnamäe, Kesklinn, Tallinn, Lasnamäe linnaosa, Tallinn, Harju maakond, 11412, Eesti"
410,FONTANA FAMOUS PIZZA & GYRO,QUEENS,NORTHERN BOULEVARD,11361,Greek,A,"القاهرة, محافظة القاهرة, مصر"
411,LUSARDI'S RESTAURANT,MANHATTAN,SECOND AVENUE,10075,Italian,A,"Upper East Side, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA"
412,PORTOFINO,QUEENS,ASCAN AVENUE,11375,Italian,A,"Queens County, NYC, New York, USA"
413,PORTOFINO,QUEENS,ASCAN AVENUE,11375,Italian,B,"Queens County, NYC, New York, USA"
414,KING'S ARMS RESTAURANT,STATEN ISLAND,FOREST AVENUE,10310,American,A,"Staten Island, Richmond County, NYC, New York, USA"
415,BLUE NOTE JAZZ,MANHATTAN,WEST    3 STREET,10012,American,A,"SoHo, Manhattan Community Board 2, Manhattan, New York County, NYC, New York, 10012, USA"
416,THE WATER CLUB,MANHATTAN,EAST   30 STREET,10016,Seafood,A,"澎湖縣, 臺灣省, TW"
417,MARCO POLO RISTORANTE,BROOKLYN,COURT STREET,11231,Italian,A,"BK, Kings County, NYC, New York, USA"
418,MANHATTAN MONSTER,MANHATTAN,GROVE STREET,10014,American,A,"臺東縣, 臺灣省, TW"
419,AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT,MANHATTAN,W 79 STREET,10024,American,Z,"Upper West Side, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA"
420,AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT,MANHATTAN,W 79 STREET,10024,American,A,"Upper West Side, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA"
421,TRIPOLI RESTAURANT/SWALLOW CAFE,BROOKLYN,ATLANTIC AVENUE,11201,Mediterranean,A,"BK, Kings County, NYC, New York, USA"
422,PJ BERNSTEIN DELI & RESTAURANT,MANHATTAN,THIRD AVENUE,10021,Delicatessen,A,"Lenox Hill, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, 10021, USA"
423,PJ BERNSTEIN DELI & RESTAURANT,MANHATTAN,THIRD AVENUE,10021,Delicatessen,B,"Lenox Hill, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, 10021, USA"
424,PJ CARNEY'S,MANHATTAN,7 AVENUE,10019,Irish,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
425,TOMOE SUSHI,MANHATTAN,THOMPSON STREET,10012,Japanese,B,"SoHo, Manhattan Community Board 2, Manhattan, New York County, NYC, New York, 10012, USA"
426,TOMOE SUSHI,MANHATTAN,THOMPSON STREET,10012,Japanese,A,"SoHo, Manhattan Community Board 2, Manhattan, New York County, NYC, New York, 10012, USA"
427,JP'S WATERSIDE RESTAURANT,BRONX,MINNIEFORD AVE,10464,Seafood,A,"Bronx County, NYC, New York, USA"
428,JP'S WATERSIDE RESTAURANT,BRONX,MINNIEFORD AVE,10464,Seafood,B,"Bronx County, NYC, New York, USA"
429,JOHN & JOE PIZZERIA & RESTAURANT,BRONX,LYDIG AVENUE,10462,Pizza/Italian,A,"Bronx County, NYC, New York, USA"
430,SUNSET PIZZERIA,STATEN ISLAND,ROSSVILLE AVENUE,10309,Pizza/Italian,A,"Staten Island, Richmond County, NYC, New York, USA"
431,SUNSET PIZZERIA,STATEN ISLAND,ROSSVILLE AVENUE,10309,Pizza/Italian,B,"Staten Island, Richmond County, NYC, New York, USA"
432,MCDONALD'S,QUEENS,COOPER AVENUE,11385,Hamburgers,A,"Queens, Queens County, NYC, New York, USA"
433,JACKSON HOLE,MANHATTAN,THIRD AVENUE,10016,American,A,"澎湖縣, 臺灣省, TW"
434,JACKSON HOLE,MANHATTAN,THIRD AVENUE,10016,American,P,"澎湖縣, 臺灣省, TW"
435,JACKSON HOLE,MANHATTAN,THIRD AVENUE,10016,American,B,"澎湖縣, 臺灣省, TW"
436,NAPOLI PIZZA,QUEENS,69 AVENUE,11365,Pizza,A,"Queens County, NYC, New York, USA"
437,VESUVIO RESTAURANT & PIZZA,BROOKLYN,3 AVENUE,11209,Pizza/Italian,A,"BK, Kings County, NYC, New York, USA"
438,VESUVIO RESTAURANT & PIZZA,BROOKLYN,3 AVENUE,11209,Pizza/Italian,B,"BK, Kings County, NYC, New York, USA"
439,VESUVIO RESTAURANT & PIZZA,BROOKLYN,3 AVENUE,11209,Pizza/Italian,C,"BK, Kings County, NYC, New York, USA"
440,WESTERN BAKERY,QUEENS,MERRICK BOULEVARD,11413,Caribbean,A,"Queens County, NYC, New York, USA"
441,WESTERN BAKERY,QUEENS,MERRICK BOULEVARD,11413,Caribbean,P,"Queens County, NYC, New York, USA"
442,JOHNS CAFE & RESTAURANT,MANHATTAN,SECOND AVENUE,10017,American,A,"基隆市, 中正區, 基隆市, 臺灣省, 20201, TW"
443,CAFE LUXEMBOURG,MANHATTAN,WEST   70 STREET,10023,French,A,"Upper West Side, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA"
444,"DUNKIN', BASKIN ROBBINS",QUEENS,HORACE HARDING EXPRESSWAY,11367,Donuts,A,"Queens County, NYC, New York, USA"
445,"DUNKIN', BASKIN ROBBINS",QUEENS,HORACE HARDING EXPRESSWAY,11367,Donuts,B,"Queens County, NYC, New York, USA"
446,BROADWAY RESTAURANT,MANHATTAN,BROADWAY,10025,American,A,"Manhattan Valley, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA"
447,BROADWAY RESTAURANT,MANHATTAN,BROADWAY,10025,American,B,"Manhattan Valley, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA"
448,NARITA JAPANESE RESTAURANT,QUEENS,70 ROAD,11375,Japanese,A,"Queens County, NYC, New York, USA"
449,CUCHIFRITO,MANHATTAN,EAST  116 STREET,10029,Mexican,A,"East Harlem, Manhattan Community Board 11, Manhattan, New York County, NYC, New York, USA"
450,IL CANTINORI RESTAURAUNT,MANHATTAN,EAST   10 STREET,10003,Italian,A,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA"
451,ANDREWS COFFEE SHOP,MANHATTAN,7 AVENUE,10018,American,A,"新竹市, 臺灣省, TW"
452,THE CLUBHOUSE,QUEENS,FRESH POND ROAD,11379,American,A,"Queens County, NYC, New York, USA"
453,FAME DINER,QUEENS,GRAND AVENUE,11378,American,A,"Queens County, NYC, New York, USA"
454,KNIGHTS OF BARON DEKALB,BROOKLYN,EMMONS AVENUE,11235,American,A,"BK, Kings County, NYC, New York, USA"
455,WEST CORK-UNION HALL,STATEN ISLAND,HENDERSON AVE,10310,American,A,"Staten Island, Richmond County, NYC, New York, USA"
456,KOSHER HUT OF BROOKLYN,BROOKLYN,KINGS HIGHWAY,11223,Jewish/Kosher,A,"Kungsholmen, Sthlm, Stockholm, Sveriges Landskap, Stockholms län, Svealand, Sverige"
457,KOSHER HUT OF BROOKLYN,BROOKLYN,KINGS HIGHWAY,11223,Jewish/Kosher,P,"Kungsholmen, Sthlm, Stockholm, Sveriges Landskap, Stockholms län, Svealand, Sverige"
458,TERRA BLUES,MANHATTAN,BLEEKER STREET,10012,American,A,"SoHo, Manhattan Community Board 2, Manhattan, New York County, NYC, New York, 10012, USA"
459,FLAMINGO,QUEENS,ROOSEVELT AVENUE,11372,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,"Queens County, NYC, New York, USA"
460,FLAMINGO,QUEENS,ROOSEVELT AVENUE,11372,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",B,"Queens County, NYC, New York, USA"
461,MONTE'S,MANHATTAN,MACDOUGAL STREET,10012,Italian,A,"SoHo, Manhattan Community Board 2, Manhattan, New York County, NYC, New York, 10012, USA"
462,GOTHAM BAR & GRILL,MANHATTAN,EAST   12 STREET,10003,American,A,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA"
463,LONDON LENNIES,QUEENS,WOODHAVEN BOULEVARD,11374,Seafood,A,"Queens County, NYC, New York, USA"
464,DUNKIN',BRONX,BOSTON POST ROAD,10475,Donuts,A,"The Bronx, Bronx County, NYC, New York, USA"
465,COOPER TOWN DINER,MANHATTAN,1 AVENUE,10003,American,A,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA"
466,DELMONICO'S KITCHEN,MANHATTAN,WEST   36 STREET,10018,American,A,"新竹市, 臺灣省, TW"
467,DELMONICO'S KITCHEN,MANHATTAN,WEST   36 STREET,10018,American,B,"新竹市, 臺灣省, TW"
468,MEZZALUNA,MANHATTAN,THIRD AVENUE,10021,Italian,A,"Lenox Hill, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, 10021, USA"
469,RESTUARANT NIPPON,MANHATTAN,EAST   52 STREET,10022,Japanese,A,"Midtown East, Manhattan Community Board 6, Manhattan, New York County, NYC, New York, USA"
470,O'HARA'S,MANHATTAN,CEDAR STREET,10006,American,A,"Financial District, Manhattan Community Board 1, Manhattan, New York County, NYC, New York, USA"
471,O'HARA'S,MANHATTAN,CEDAR STREET,10006,American,B,"Financial District, Manhattan Community Board 1, Manhattan, New York County, NYC, New York, USA"
472,AQUEDUCT NORTH,BRONX,KATONAH AVE,10470,Irish,A,"Bronx County, NYC, New York, USA"
473,E.A.T. CAFE,MANHATTAN,MADISON AVENUE,10028,American,A,"Yorkville, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA"
474,E.A.T. CAFE,MANHATTAN,MADISON AVENUE,10028,American,B,"Yorkville, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA"
475,YANKEE CLIPPER,QUEENS,LAGUARDIA AIRPORT BLDG,11369,American,A,"Queens County, NYC, New York, USA"
476,REX MANOR,BROOKLYN,60 STREET,11219,Continental,A,"BK, Kings County, NYC, New York, USA"
477,CLUB 101,MANHATTAN,PARK AVENUE,10178,American,A,"Mitte, Berlin, Deutschland"
478,RIVERDALE DINER,BRONX,KINGSBRIDGE AVENUE,10463,American,A,"The Bronx, Bronx County, NYC, New York, USA"
479,RIVERDALE DINER,BRONX,KINGSBRIDGE AVENUE,10463,American,B,"The Bronx, Bronx County, NYC, New York, USA"
480,CARLOS PIZZA,QUEENS,METROPOLITAN AVENUE,11379,Pizza,A,"Queens County, NYC, New York, USA"
481,THE BITTER END,MANHATTAN,BLEECKER STREET,10012,American,A,"SoHo, Manhattan Community Board 2, Manhattan, New York County, NYC, New York, 10012, USA"
482,ARRIBA ARRIBA,MANHATTAN,9 AVENUE,10019,Mexican,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
483,GEIDO RESTAURANT,BROOKLYN,FLATBUSH AVENUE,11217,Japanese,A,"Naujosios Vilnios seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, Lietuva"
484,BARNEY GREENGRASS,MANHATTAN,AMSTERDAM AVENUE,10024,Jewish/Kosher,A,"Upper West Side, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA"
485,ANNAM BRAHAM RESTAURANT,QUEENS,164 STREET,11432,Indian,A,"Queens, Queens County, NYC, New York, USA"
486,MONTERO BAR & GRILL,BROOKLYN,ATLANTIC AVENUE,11201,American,A,"BK, Kings County, NYC, New York, USA"
487,PISA PIZZERIA,QUEENS,MYRTLE AVENUE,11385,Pizza/Italian,A,"Queens, Queens County, NYC, New York, USA"
488,PETE'S CLAM STOP,BROOKLYN,SURF AVENUE,11224,American,A,"BK, Kings County, NYC, New York, USA"
489,BURRITO LOCO,MANHATTAN,WEST    4 STREET,10014,Tex-Mex,A,"臺東縣, 臺灣省, TW"
490,FIT CAFETERIA (BUILDING A ) (8th ave),MANHATTAN,WEST   27 STREET,10001,American,A,"Chelsea, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
491,SMILING PIZZA,BROOKLYN,7 AVENUE,11215,Pizza,A,"BK, Kings County, NYC, New York, USA"
492,SYMPOSIUM GREEK RESTAURANT,MANHATTAN,WEST  113 STREET,10025,Greek,C,"Manhattan Valley, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA"
493,SYMPOSIUM GREEK RESTAURANT,MANHATTAN,WEST  113 STREET,10025,Greek,A,"Manhattan Valley, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA"
494,VILLAGE YOKOCHO,MANHATTAN,STUYVESANT STREET,10003,Japanese,A,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA"
495,CLARK'S RESTAURANT,BROOKLYN,CLARK STREET,11201,American,A,"BK, Kings County, NYC, New York, USA"
496,PIETROS,MANHATTAN,EAST 43RD STREET,10017,Italian,A,"基隆市, 中正區, 基隆市, 臺灣省, 20201, TW"
497,PIETROS,MANHATTAN,EAST 43RD STREET,10017,Italian,B,"基隆市, 中正區, 基隆市, 臺灣省, 20201, TW"
498,MISS LILY'S 7A,MANHATTAN,AVENUE A,10009,Caribbean,A,"雲林縣, 臺灣省, TW"
499,MISS LILY'S 7A,MANHATTAN,AVENUE A,10009,Caribbean,B,"雲林縣, 臺灣省, TW"
500,ROSA MEXICANO,MANHATTAN,FIRST AVENUE,10022,Mexican,A,"Midtown East, Manhattan Community Board 6, Manhattan, New York County, NYC, New York, USA"
501,DUFFY'S,STATEN ISLAND,FOREST AVENUE,10310,American,A,"Staten Island, Richmond County, NYC, New York, USA"
502,LATOURETTE GOLF COURSE,STATEN ISLAND,RICHMOND HILL ROAD,10306,American,A,"Richmond County, NYC, New York, USA"
503,DYKER BEACH GOLF (GRILL ROOM),BROOKLYN,86th Street,11228,American,A,"BK, Kings County, NYC, New York, USA"
504,DYKER BEACH GOLF (GRILL ROOM),BROOKLYN,86th Street,11228,American,B,"BK, Kings County, NYC, New York, USA"
505,COOGAN'S,MANHATTAN,BROADWAY,10032,American,A,"Washington Heights, Manhattan Community Board 12, Manhattan, New York County, NYC, New York, USA"
506,TOMMY'S PIZZA,BRONX,EAST TREMONT AVENUE,10465,Pizza,A,"Bronx County, NYC, New York, USA"
507,PARNELL'S PUB,MANHATTAN,EAST   53 STREET,10022,Irish,A,"Midtown East, Manhattan Community Board 6, Manhattan, New York County, NYC, New York, USA"
508,PARNELL'S PUB,MANHATTAN,EAST   53 STREET,10022,Irish,B,"Midtown East, Manhattan Community Board 6, Manhattan, New York County, NYC, New York, USA"
509,LA FE RESTAURANT,BROOKLYN,4 AVENUE,11232,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,"Градска општина Вождовац, Град Београд, Централна Србија, 11040, Србија"
510,OCEAN DRAGON RESTAURANT,MANHATTAN,10 AVENUE,10019,Chinese,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
511,COBBLESTONE PUB,QUEENS,QUEENS BOULEVARD,11375,American,A,"Queens County, NYC, New York, USA"
512,O'SULLIVAN'S PUB,BROOKLYN,3 AVENUE,11209,American,A,"BK, Kings County, NYC, New York, USA"
513,PIZZA WAGON,BROOKLYN,5 AVENUE,11209,Pizza,A,"BK, Kings County, NYC, New York, USA"
514,RUSSIAN TURKISH BATHS,MANHATTAN,EAST   10 STREET,10009,Russian,Z,"雲林縣, 臺灣省, TW"
515,RUSSIAN TURKISH BATHS,MANHATTAN,EAST   10 STREET,10009,Russian,A,"雲林縣, 臺灣省, TW"
516,IL TOSCANO RISTORANTE,QUEENS,235 STREET,11363,Italian,A,"Queens County, NYC, New York, USA"
517,GABY'S PIZZA,QUEENS,HILLSIDE AVENUE,11423,Pizza,A,"Queens County, NYC, New York, USA"
518,VERDI RESTAURANT,QUEENS,CROSS ISLAND PARKWAY,11357,Italian,A,"Queens, Queens County, NYC, New York, USA"
519,THE CORNELIA STREET CAFE,MANHATTAN,CORNELIA STREET,10014,Californian,A,"臺東縣, 臺灣省, TW"
520,THE CORNELIA STREET CAFE,MANHATTAN,CORNELIA STREET,10014,Californian,B,"臺東縣, 臺灣省, TW"
521,THE CORNELIA STREET CAFE,MANHATTAN,CORNELIA STREET,10014,Californian,P,"臺東縣, 臺灣省, TW"
522,LE BERNARDIN,MANHATTAN,W 51ST ST,10019,French,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
523,THE GROTTO,MANHATTAN,NEW STREET,10004,Pizza,A,"新竹縣, 臺灣省, Taiwan"
524,BRANDY'S PIANO BAR,MANHATTAN,EAST   84 STREET,10028,American,B,"Yorkville, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA"
525,BRANDY'S PIANO BAR,MANHATTAN,EAST   84 STREET,10028,American,A,"Yorkville, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA"
526,REAL MADRID RESTAURANT,STATEN ISLAND,FOREST AVENUE,10303,Spanish,A,"Staten Island, Richmond County, NYC, New York, USA"
527,REAL MADRID RESTAURANT,STATEN ISLAND,FOREST AVENUE,10303,Spanish,B,"Staten Island, Richmond County, NYC, New York, USA"
528,CANLON'S RESTAURANT,STATEN ISLAND,NORTH RAILROAD AVENUE,10306,Italian,A,"Richmond County, NYC, New York, USA"
529,COUSIN JOHN'S CAFE AND BAKERY,BROOKLYN,7 AVENUE,11217,Bakery,A,"Naujosios Vilnios seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, Lietuva"
530,LAST STOP (AI & JI) RESTAURANT,BRONX,BROADWAY,10471,American,A,"Bronx County, NYC, New York, USA"
531,RUSSIAN SAMOVAR,MANHATTAN,WEST   52 STREET,10019,Russian,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
532,PIZZA D'ORO,STATEN ISLAND,VICTORY BOULEVARD,10314,Pizza,A,"Todt Hill, Staten Island, Richmond County, NYC, New York, 10304, USA"
533,MCDONALD'S,BROOKLYN,PENNSYLVANIA AVENUE,11207,Hamburgers,A,"BK, Kings County, NYC, New York, USA"
534,PHIL & SONS RESTAURANT & PIZZERIA,QUEENS,MAIN STREET,11355,Pizza/Italian,A,"Queens County, NYC, New York, USA"
535,PHIL & SONS RESTAURANT & PIZZERIA,QUEENS,MAIN STREET,11355,Pizza/Italian,B,"Queens County, NYC, New York, USA"
536,LA MELA RESTAURANT,MANHATTAN,MULBERRY STREET,10013,Italian,A,"屏東縣, 臺灣省, TW"
537,PJ MORANS,MANHATTAN,EAST   48 STREET,10017,Irish,A,"基隆市, 中正區, 基隆市, 臺灣省, 20201, TW"
538,OMEGA COFFEE SHOP,QUEENS,32 AVENUE,11361,American,A,"القاهرة, محافظة القاهرة, مصر"
539,FRIEND OF A FARMER,MANHATTAN,IRVING PLACE,10003,American,A,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA"
540,FRIEND OF A FARMER,MANHATTAN,IRVING PLACE,10003,American,B,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA"
541,DREAM PIZZA,QUEENS,JUNCTION BOULEVARD,11368,Pizza,A,"Queens, Queens County, NYC, New York, USA"
542,IRENE'S PLACE,BROOKLYN,MANHATTAN AVENUE,11222,Polish,A,"BK, Kings County, NYC, New York, USA"
543,KANES DELI DINER,QUEENS,COLLEGE POINT BOULEVARD,11355,American,A,"Queens County, NYC, New York, USA"
544,VESELKA RESTAURANT,MANHATTAN,SECOND AVENUE,10003,Eastern European,A,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA"
545,VESELKA RESTAURANT,MANHATTAN,SECOND AVENUE,10003,Eastern European,P,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA"
546,WHITE CASTLE,BROOKLYN,PENNSYLVANIA AVENUE,11207,Hamburgers,A,"BK, Kings County, NYC, New York, USA"
547,J & R PIZZA,BROOKLYN,KINGS HIGHWAY,11229,Pizza,A,"BK, Kings County, NYC, New York, USA"
548,CHEZ JOSEPHINE,MANHATTAN,W 42ND ST,10036,French,B,"Hell's Kitchen, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
549,CHEZ JOSEPHINE,MANHATTAN,W 42ND ST,10036,French,A,"Hell's Kitchen, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
550,"DUNKIN', BASKIN ROBBINS",QUEENS,HILLSIDE AVENUE,11004,Donuts,A,"Queens County, NYC, New York, USA"
551,VICTORY SWEET SHOP,QUEENS,STEINWAY STREET,11105,Bakery,A,"Queens County, NYC, New York, USA"
552,VICTORY SWEET SHOP,QUEENS,STEINWAY STREET,11105,Bakery,C,"Queens County, NYC, New York, USA"
553,CAPPUCCINO CAFE,BROOKLYN,3 AVENUE,11209,American,A,"BK, Kings County, NYC, New York, USA"
554,PANGEA RESTAURANT,MANHATTAN,2 AVENUE,10003,Mediterranean,A,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA"
555,AUTOMATIC SLIMS,MANHATTAN,WASHINGTON STREET,10014,American,A,"臺東縣, 臺灣省, TW"
556,CLOISTER CAFE,MANHATTAN,EAST    9 STREET,10003,American,A,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA"
557,JIMBO'S HAMBURGER PLACE,MANHATTAN,FIRST AVENUE,10022,American,A,"Midtown East, Manhattan Community Board 6, Manhattan, New York County, NYC, New York, USA"
558,200 FIFTH AVENUE RESTAURANT & SPORTS BAR,BROOKLYN,5 AVENUE,11217,American,A,"Naujosios Vilnios seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, Lietuva"
559,200 FIFTH AVENUE RESTAURANT & SPORTS BAR,BROOKLYN,5 AVENUE,11217,American,B,"Naujosios Vilnios seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, Lietuva"
560,LATTANZI,MANHATTAN,WEST   46 STREET,10036,Italian,A,"Hell's Kitchen, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
561,LATTANZI,MANHATTAN,WEST   46 STREET,10036,Italian,B,"Hell's Kitchen, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
562,PIZZA GARDEN,QUEENS,NORTHERN BOULEVARD,11358,Pizza,A,"Östermalm, Östermalms stadsdelsområde, Sthlm, Stockholm, Sveriges Landskap, Stockholms län, Svealand, Sverige"
563,ISLAND,MANHATTAN,MADISON AVENUE,10128,Seafood,A,"Crocetta, Torino, TO, PIE, Italia"
564,EASTWOOD MANOR,BRONX,EASTCHESTER ROAD,10469,American,A,"Bronx County, NYC, New York, USA"
565,SALUMERIA BEILLESE/ BIRICCHINO REST,MANHATTAN,8 AVENUE,10001,Italian,A,"Chelsea, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
566,SALUMERIA BEILLESE/ BIRICCHINO REST,MANHATTAN,8 AVENUE,10001,Italian,P,"Chelsea, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
567,ACADEMY RESTAURAUNT,BROOKLYN,LAFAYETTE AVENUE,11217,American,A,"Naujosios Vilnios seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, Lietuva"
568,PARK PLAZA RESTAURANT,BROOKLYN,CADMAN PLAZA WEST,11201,American,A,"BK, Kings County, NYC, New York, USA"
569,SAM'S PLACE,MANHATTAN,EAST   39 STREET,10016,Italian,A,"澎湖縣, 臺灣省, TW"
570,RAY'S PIZZA,MANHATTAN,7 AVENUE,10019,Pizza,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
571,HUNTER'S STEAK & ALE HOUSE,BROOKLYN,FOURTH AVENUE,11209,Steak,A,"BK, Kings County, NYC, New York, USA"
572,LJUBO'S PIZZERIA,BRONX,WESTCHESTER SQUARE,10461,Pizza/Italian,A,"Bronx County, NYC, New York, USA"
573,DAKOTA DINER,STATEN ISLAND,RICHMOND AVENUE,10314,American,A,"Todt Hill, Staten Island, Richmond County, NYC, New York, 10304, USA"
