,Restaurant,Borough,Neighborhood,Postcode,CUISINE DESCRIPTION,GRADE,Address,Coordinates,latitude,longitude
41,SPOONBREAD TOO,MANHATTAN,WEST  110 STREET,10025,Soul Food,P,"Manhattan Valley, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA","250 W 87th St # 2, New York, NY 10024, USA",40.7890699,-73.97654949999999
42,KOSHER BAGEL HOLE,BROOKLYN,AVENUE J,11230,Jewish/Kosher,A,"Chalabre, Avenue Auguste Cathala, Ségovent, Chalabre, Limoux, Aude, Occitanie, France métropolitaine, 11230, France","Avenue Auguste Cathala, 11230 Chalabre, France",42.9841172,2.0072292
43,PLAZA BAGELS & DELI,STATEN ISLAND,NEW DORP PLAZA,10306,Bagels/Pretzels,A,"Richmond County, NYC, New York, USA","Staten Island, NY, USA",40.5795317,-74.1502007
44,HAPPY GARDEN,BRONX,EAST KINGSBRIDGE ROAD,10458,Chinese,A,"Bronx County, NYC, New York, USA","The Bronx, NY, USA",40.8447819,-73.8648268
45,B & M HOT BAGEL & GROCERY,STATEN ISLAND,GIFFORDS LANE,10308,Delicatessen,A,"Richmond County, NYC, New York, USA","Staten Island, NY, USA",40.5795317,-74.1502007
46,PHILADELPHIA GRILLE EXPRESS,BROOKLYN,4 AVENUE,11209,Pizza/Italian,A,"BK, Kings County, NYC, New York, USA","20 Skillman Ave, Brooklyn, NY 11211, USA",40.715211,-73.951022
47,PETER LUGER STEAKHOUSE,BROOKLYN,BROADWAY,11211,Steak,A,"Борча, Беле Бартока, Нова Борча, Борча, Градска општина Палилула, Град Београд, Централна Србија, 11211, Србија","Bele Bartoka, Borča, Serbia",44.876928,20.4506365
48,METROPOLITAN CLUB,MANHATTAN,EAST   60 STREET,10022,American,A,"Midtown East, Manhattan Community Board 6, Manhattan, New York County, NYC, New York, USA","211 E 43rd St #1404, New York, NY 10017, USA",40.7512663,-73.9731576
49,21 CLUB,MANHATTAN,WEST   52 STREET,10019,American,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
50,MANHEM CLUB,BRONX,CLARENCE AVE,10465,American,A,"Bronx County, NYC, New York, USA","The Bronx, NY, USA",40.8447819,-73.8648268
51,ISLE OF CAPRI RESTURANT,MANHATTAN,3 AVENUE,10065,Italian,A,"Lenox Hill, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA","505 Park Ave #620, New York, NY 10022, USA",40.7629517,-73.96929639999999
52,OLD TOWN BAR & RESTAURANT,MANHATTAN,EAST   18 STREET,10003,American,A,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA","59 E 4th St, New York, NY 10003, USA",40.727026,-73.9908526
53,POLISH NATIONAL HOME,BROOKLYN,DRIGGS AVENUE,11222,Polish,A,"BK, Kings County, NYC, New York, USA","20 Skillman Ave, Brooklyn, NY 11211, USA",40.715211,-73.951022
54,SEVILLA RESTAURANT,MANHATTAN,CHARLES STREET,10014,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,"臺東縣, 臺灣省, TW","Taitung County, Taiwan",22.7972447,121.0713702
55,SEVILLA RESTAURANT,MANHATTAN,CHARLES STREET,10014,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",B,"臺東縣, 臺灣省, TW","Taitung County, Taiwan",22.7972447,121.0713702
56,CRIMINAL COURT BLDG CAFETERIA,MANHATTAN,CENTRE STREET,10013,American,A,"屏東縣, 臺灣省, TW","Pingtung County, Taiwan",22.5519759,120.5487597
57,GOTTSCHEER HALL,QUEENS,FAIRVIEW AVENUE,11385,German,A,"Queens, Queens County, NYC, New York, USA","Queens, NY, USA",40.7282239,-73.7948516
58,GOTTSCHEER HALL,QUEENS,FAIRVIEW AVENUE,11385,German,P,"Queens, Queens County, NYC, New York, USA","Queens, NY, USA",40.7282239,-73.7948516
59,NYAC MAIN DINING ROOM,MANHATTAN,CENTRAL PARK SOUTH,10019,American,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
60,7B BAR,MANHATTAN,AVENUE B,10009,American,A,"雲林縣, 臺灣省, TW","Yunlin County, Taiwan",23.7092033,120.4313373
61,CAFE ATELIER (ART STUDENTS LEAGUE),MANHATTAN,WEST   57 STREET,10019,American,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
62,DONOHUE'S STEAK HOUSE,MANHATTAN,LEXINGTON AVENUE,10065,Steak,A,"Lenox Hill, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA","505 Park Ave #620, New York, NY 10022, USA",40.7629517,-73.96929639999999
63,TOUT VA BIEN,MANHATTAN,WEST   51 STREET,10019,French,B,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
64,TOUT VA BIEN,MANHATTAN,WEST   51 STREET,10019,French,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
65,JUNIOR'S,BROOKLYN,FLATBUSH AVENUE EXTENSION,11201,American,A,"BK, Kings County, NYC, New York, USA","20 Skillman Ave, Brooklyn, NY 11211, USA",40.715211,-73.951022
66,MARCHIS RESTAURANT,MANHATTAN,EAST   31 STREET,10016,Italian,A,"澎湖縣, 臺灣省, TW","Penghu County, Taiwan",23.5711899,119.5793157
67,MARCHIS RESTAURANT,MANHATTAN,EAST   31 STREET,10016,Italian,P,"澎湖縣, 臺灣省, TW","Penghu County, Taiwan",23.5711899,119.5793157
68,TOWNE CAFE,BROOKLYN,EAST   15 STREET,11235,American,A,"BK, Kings County, NYC, New York, USA","20 Skillman Ave, Brooklyn, NY 11211, USA",40.715211,-73.951022
69,TOWNE CAFE,BROOKLYN,EAST   15 STREET,11235,American,B,"BK, Kings County, NYC, New York, USA","20 Skillman Ave, Brooklyn, NY 11211, USA",40.715211,-73.951022
70,OLD HOMESTEAD,MANHATTAN,9 AVENUE,10011,American,A,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
71,OLD HOMESTEAD,MANHATTAN,9 AVENUE,10011,American,P,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
72,OLD HOMESTEAD,MANHATTAN,9 AVENUE,10011,American,B,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
73,NEW PARK PIZZERIA & RESTAURANT,QUEENS,CROSSBAY BOULEVARD,11414,Pizza/Italian,A,"Queens, Queens County, NYC, New York, USA","Queens, NY, USA",40.7282239,-73.7948516
74,DOUGLASTON CLUB,QUEENS,WEST DRIVE,11363,American,A,"Queens County, NYC, New York, USA","Queens, NY, USA",40.7282239,-73.7948516
75,RIZZO'S FINE PIZZA,QUEENS,STEINWAY STREET,11103,Pizza,A,"Queens County, NYC, New York, USA","Queens, NY, USA",40.7282239,-73.7948516
76,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,BRONX,HAVILAND AVENUE,10462,American,A,"Bronx County, NYC, New York, USA","The Bronx, NY, USA",40.8447819,-73.8648268
77,WHITE HORSE TAVERN,MANHATTAN,HUDSON STREET,10014,American,A,"臺東縣, 臺灣省, TW","Taitung County, Taiwan",22.7972447,121.0713702
78,CRYSTAL ROOM,STATEN ISLAND,OLYMPIA BOULEVARD,10305,Italian,A,"Todt Hill, Staten Island, Richmond County, NYC, New York, 10304, USA","Todt Hill, Staten Island, NY, USA",40.5975007,-74.10189749999999
79,LABETTI'S POST # 2159,STATEN ISLAND,HYLAN BOULEVARD,10305,American,A,"Todt Hill, Staten Island, Richmond County, NYC, New York, 10304, USA","Todt Hill, Staten Island, NY, USA",40.5975007,-74.10189749999999
80,SHELL LANES,BROOKLYN,BOUCK COURT,11223,American,A,"Kungsholmen, Sthlm, Stockholm, Sveriges Landskap, Stockholms län, Svealand, Sverige","Kungsholmen, Stockholm, Sweden",59.3311812,18.0407363
81,MCSORLEY'S OLD ALE HOUSE,MANHATTAN,EAST    7 STREET,10003,Irish,A,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA","59 E 4th St, New York, NY 10003, USA",40.727026,-73.9908526
82,MCSORLEY'S OLD ALE HOUSE,MANHATTAN,EAST    7 STREET,10003,Irish,P,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA","59 E 4th St, New York, NY 10003, USA",40.727026,-73.9908526
83,FORLINIS RESTAURANT,MANHATTAN,BAXTER STREET,10013,Italian,Z,"屏東縣, 臺灣省, TW","Pingtung County, Taiwan",22.5519759,120.5487597
84,FORLINIS RESTAURANT,MANHATTAN,BAXTER STREET,10013,Italian,A,"屏東縣, 臺灣省, TW","Pingtung County, Taiwan",22.5519759,120.5487597
85,SOUTH SHORE SWIMMING CLUB,STATEN ISLAND,HYLAN BOULEVARD,10309,American,A,"Staten Island, Richmond County, NYC, New York, USA","Richmond County, Staten Island, NY, USA",40.5605312,-74.1474846
86,SOUTH SHORE SWIMMING CLUB,STATEN ISLAND,HYLAN BOULEVARD,10309,American,B,"Staten Island, Richmond County, NYC, New York, USA","Richmond County, Staten Island, NY, USA",40.5605312,-74.1474846
87,CORNER BISTRO,MANHATTAN,WEST    4 STREET,10014,American,A,"臺東縣, 臺灣省, TW","Taitung County, Taiwan",22.7972447,121.0713702
88,CORNER BISTRO,MANHATTAN,WEST    4 STREET,10014,American,C,"臺東縣, 臺灣省, TW","Taitung County, Taiwan",22.7972447,121.0713702
89,NOSTRAND DONUT SHOP,BROOKLYN,NOSTRAND AVENUE,11226,Donuts,A,"Naujosios Vilnios seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, Lietuva","Naujoji Vilnia eldership, Vilnius, Lithuania",54.6834271,25.3847759
90,DORRIAN'S RED HAND RESTAURANT,MANHATTAN,2 AVENUE,10028,Irish,A,"Yorkville, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA","505 Park Ave #620, New York, NY 10022, USA",40.7629517,-73.96929639999999
91,LA GRENOUILLE,MANHATTAN,EAST   52 STREET,10022,French,A,"Midtown East, Manhattan Community Board 6, Manhattan, New York County, NYC, New York, USA","211 E 43rd St #1404, New York, NY 10017, USA",40.7512663,-73.9731576
92,COMO PIZZA,MANHATTAN,BROADWAY,10032,Pizza,B,"Washington Heights, Manhattan Community Board 12, Manhattan, New York County, NYC, New York, USA","530 W 166th St #1, New York, NY 10032, USA",40.8391902,-73.93962069999999
93,COMO PIZZA,MANHATTAN,BROADWAY,10032,Pizza,A,"Washington Heights, Manhattan Community Board 12, Manhattan, New York County, NYC, New York, USA","530 W 166th St #1, New York, NY 10032, USA",40.8391902,-73.93962069999999
94,KEATS RESTAURANT,MANHATTAN,2 AVENUE,10017,American,A,"基隆市, 中正區, 基隆市, 臺灣省, 20201, TW","Keelung City, Taiwan",25.1276033,121.7391833
95,KEATS RESTAURANT,MANHATTAN,2 AVENUE,10017,American,B,"基隆市, 中正區, 基隆市, 臺灣省, 20201, TW","Keelung City, Taiwan",25.1276033,121.7391833
96,PANCHITO'S,MANHATTAN,MACDOUGAL STREET,10012,Mexican,B,"SoHo, Manhattan Community Board 2, Manhattan, New York County, NYC, New York, 10012, USA","3 Washington Square Village #1A, New York, NY 10012, USA",40.7278058,-73.9979716
97,PANCHITO'S,MANHATTAN,MACDOUGAL STREET,10012,Mexican,A,"SoHo, Manhattan Community Board 2, Manhattan, New York County, NYC, New York, 10012, USA","3 Washington Square Village #1A, New York, NY 10012, USA",40.7278058,-73.9979716
98,NEW CORNER,BROOKLYN,8 AVENUE,11228,Italian,A,"BK, Kings County, NYC, New York, USA","20 Skillman Ave, Brooklyn, NY 11211, USA",40.715211,-73.951022
